Year, Test_Index, Train_Size_Used, Target, Prediction          , Error               , Squared_Error        , Train_Target_Mean  , Baseline_Squared_Error, Skill_Score        , Best_Val_MSE      , Best_Seed
2011,          0,              50, -3.0  , -1.4274903535842896 , 1.5725096464157104  , 2.4727865880704627   , -1.8799999952316284,     1.2544000106811524, -0.971290311714613 , 35.32280731201172 ,        43
2012,          1,              51, 4.0   , 1.6201742887496948  , -2.379825711250305  , 5.663570415928021    , -1.9019607305526733,    34.833140464985846 , 0.8374085614927249 , 32.06416702270508 ,        43
2013,          2,              52, 0.0   , 0.025052309036254883, 0.025052309036254883, 0.0006276181880480181, -1.7884615659713745,     3.198594772956781 , 0.9998037831508528 , 27.808191299438477,        51
2014,          3,              53, 5.0   , 4.027586936950684   , -0.9724130630493164 , 0.9455871651889538   , -1.7547169923782349,    45.62620164712327  , 0.9792753476938054 , 29.398508071899414,        43
2015,          4,              54, 4.0   , 4.209732532501221   , 0.2097325325012207  , 0.0439877351893756   , -1.6296296119689941,    31.692729567958168 , 0.9986120559576589 , 32.695953369140625,        46
2016,          5,              55, 7.0   , 5.303860664367676   , -1.6961393356323242 , 2.876888645879262    , -1.5272727012634277,    72.71437972171248  , 0.9604357672184031 , 33.15205383300781 ,        43
2017,          6,              56, -2.0  , -2.084794044494629  , -0.0847940444946289 , 0.007190029981757107 , -1.375             ,     0.390625          , 0.9815935232467018 , 36.270591735839844,        43
2018,          7,              57, -3.0  , -0.8441718816757202 , 2.15582811832428    , 4.647594875757605    , -1.3859648704528809,     2.6051093994121857, -0.7840305964909895, 32.3836784362793  ,        46
2019,          8,              58, 7.0   , 9.12227725982666    , 2.12227725982666    , 4.504060767577357    , -1.4137930870056152,    70.79191411094348  , 0.9363760561620259 , 39.15053939819336 ,        44
2020,          9,              59, 0.0   , -0.6332869529724121 , -0.6332869529724121 , 0.4010523648050821   , -1.2711864709854126,     1.6159150440163472, 0.751810983943643  , 35.87360382080078 ,        46
2021,         10,              60, 2.0   , -0.6714710593223572 , -2.671471059322357  , 7.136757620796917    , -1.25              ,    10.5625            , 0.32433063945117946, 35.865440368652344,        44
2022,         11,              61, -3.0  , 0.09844672679901123 , 3.0984467267990112  , 9.600372118811507    , -1.1967213153839111,     3.2518140143907317, -1.952312794128313 , 28.23700523376465 ,        46
2023,         12,              62, 7.0   , 4.69809627532959    , -2.30190372467041   , 5.2987607576515074   , -1.225806474685669 ,    67.66389215898067  , 0.9216899798610206 , 33.982810974121094,        46
2024,         13,              63, -2.0  , -0.2775052785873413 , 1.7224947214126587  , 2.9669880652944727   , -1.0952380895614624,     0.8185941145803923, -2.624492300210755 , 34.454734802246094,        46
