trial,seed,feature_subdir,hidden_dim,num_layers,alpha,beta,gamma,best_val_mse,test_loss
5,55,MoK_byol_new_transformer_45,16,1,1.3,1.0,1.9,46.56713104248047,2.681565999984741
17,51,MoK_byol_new_transformer_45,16,1,1.5,1.5,1.9,48.00077819824219,5.334890365600586
9,51,MoK_byol_new_transformer_45,16,1,1.5,0.5,1.5,47.97190475463867,5.368892192840576
6,51,MoK_byol_new_transformer_45,16,1,1.3,1.5,1.5,49.57597351074219,9.470758438110352
26,51,MoK_byol_new_transformer_45,16,1,1.7,1.5,1.9,50.92255401611328,9.478519439697266
23,51,MoK_byol_new_transformer_45,16,1,1.7,1.0,1.9,50.9271354675293,9.48705005645752
3,51,MoK_byol_new_transformer_45,16,1,1.3,1.0,1.5,49.54042053222656,9.517382621765137
0,51,MoK_byol_new_transformer_45,16,1,1.3,0.5,1.5,49.49626159667969,9.536666870117188
20,51,MoK_byol_new_transformer_45,16,1,1.7,0.5,1.9,51.024070739746094,9.6188383102417
14,51,MoK_byol_new_transformer_45,16,1,1.5,1.0,1.9,51.259254455566406,9.676843643188477
10,51,MoK_byol_new_transformer_45,16,1,1.5,0.5,1.7,51.24738693237305,9.711832046508789
7,51,MoK_byol_new_transformer_45,16,1,1.3,1.5,1.7,49.47199249267578,9.74445915222168
25,51,MoK_byol_new_transformer_45,16,1,1.7,1.5,1.7,51.45001220703125,9.744769096374512
16,51,MoK_byol_new_transformer_45,16,1,1.5,1.5,1.7,51.29730987548828,9.746785163879395
19,51,MoK_byol_new_transformer_45,16,1,1.7,0.5,1.7,51.20146942138672,9.754722595214844
1,51,MoK_byol_new_transformer_45,16,1,1.3,0.5,1.7,49.42418670654297,9.7995023727417
22,51,MoK_byol_new_transformer_45,16,1,1.7,1.0,1.7,51.40153121948242,9.805299758911133
4,51,MoK_byol_new_transformer_45,16,1,1.3,1.0,1.7,49.478416442871094,9.820889472961426
11,51,MoK_byol_new_transformer_45,16,1,1.5,0.5,1.9,51.36381912231445,9.850378036499023
12,51,MoK_byol_new_transformer_45,16,1,1.5,1.0,1.5,51.30280303955078,9.923215866088867
15,51,MoK_byol_new_transformer_45,16,1,1.5,1.5,1.5,51.310752868652344,9.92432689666748
2,51,MoK_byol_new_transformer_45,16,1,1.3,0.5,1.9,49.382652282714844,10.136326789855957
18,49,MoK_byol_new_transformer_45,16,1,1.7,0.5,1.5,51.55363082885742,14.850438117980957
13,51,MoK_byol_new_transformer_45,16,1,1.5,1.0,1.7,50.87591552734375,15.309347152709961
8,51,MoK_byol_new_transformer_45,16,1,1.3,1.5,1.9,49.172183990478516,16.56749725341797
21,51,MoK_byol_new_transformer_45,16,1,1.7,1.0,1.5,49.824066162109375,17.348630905151367
24,51,MoK_byol_new_transformer_45,16,1,1.7,1.5,1.5,49.282958984375,18.1535701751709
